CATUTTC,Community,IndicatorMeasurement,IndicatorValueTime,IndicatorValue
UA46040130000035029,Поморянська,тис. грн,Q3 2022,39179.05
UA46060370000065608,Пустомитiвська,тис. грн,Q3 2022,181524.68
UA46060390000035967,Рава-Руська,тис. грн,Q3 2022,177479.34
UA46120090000051307,Радехiвська,тис. грн,Q3 2022,240200.67
UA46080090000029798,Ралiвська,тис. грн,Q3 2022,79198.28
UA46100170000077437,Розвадiвська,тис. грн,Q3 2022,77847.3
UA46080110000050484,Рудкiвська,тис. грн,Q3 2022,141310.66
UA46080130000077112,Самбiрська,тис. грн,Q3 2022,354483.46
UA46100190000081766,Сколiвська,тис. грн,Q3 2022,166577.23
UA46100210000027970,Славська,тис. грн,Q3 2022,279972.14
UA46120110000062257,Сокальська,тис. грн,Q3 2022,327917.99
UA46060410000052681,Сокiльницька,тис. грн,Q3 2022,114183.52
UA46060430000091455,Солонкiвська,тис. грн,Q3 2022,237693.7
UA46080150000050321,Старосамбiрська,тис. грн,Q3 2022,139343.05
UA46100230000047305,Стрийська,тис. грн,Q3 2022,843011.21
UA46080170000064605,Стрiлкiвська,тис. грн,Q3 2022,77521.87
UA46140070000010135,Судововишнянська,тис. грн,Q3 2022,86589.22
UA46020070000056149,Схiдницька,тис. грн,Q3 2022,108986.64
UA46100250000088835,Тростянецька,тис. грн,Q3 2022,71324.41
UA46020090000057315,Трускавецька,тис. грн,Q3 2022,270067.13
UA46080190000096121,Туркiвська,тис. грн,Q3 2022,148126.02
UA46080210000051983,Хирiвська,тис. грн,Q3 2022,88455.61
UA46100270000094052,Ходорiвська,тис. грн,Q3 2022,149131.87
UA46120130000026331,Червоноградська,тис. грн,Q3 2022,664528.72
UA46140090000079730,Шегинiвська,тис. грн,Q3 2022,83160.96
UA46060450000037997,Щирецька,тис. грн,Q3 2022,68978.61
UA46140110000063568,Яворiвська,тис. грн,Q3 2022,1009715.93
UA46120010000054878,Белзька,тис. грн,Q4 2022,115498.79
UA46060010000049728,Бiбрська,тис. грн,Q4 2022,150944.3
UA46080010000010628,Бiсковицька,тис. грн,Q4 2022,155905.41
UA46080030000048662,Боринська,тис. грн,Q4 2022,210943.51
UA46020010000073886,Бориславська,тис. грн,Q4 2022,355085.25
UA46040010000033885,Бродiвська,тис. грн,Q4 2022,494488.89
UA46040030000058332,Буська,тис. грн,Q4 2022,296917.08
UA46060030000020652,Великолюбiнська,тис. грн,Q4 2022,77397.08
UA46120030000069375,Великомостiвська,тис. грн,Q4 2022,279935.45
UA46060050000016451,Глинянська,тис. грн,Q4 2022,85760.78
UA46100010000066018,Гнiздичiвська,тис. грн,Q4 2022,60883.77
UA46060070000047720,Городоцька,тис. грн,Q4 2022,384997.57
UA46100030000016064,Грабовецько-Дулiбiвська,тис. грн,Q4 2022,110699.37
UA46060090000017373,Давидiвська,тис. грн,Q4 2022,296213.1
UA46080050000015399,Добромильська,тис. грн,Q4 2022,139743.43
UA46060110000011684,Добросинсько-Магерiвська,тис. грн,Q4 2022,138020.9
UA46120050000027080,Добротвiрська,тис. грн,Q4 2022,149757.56
UA46020030000019252,Дрогобицька,тис. грн,Q4 2022,1149141.55
UA46100050000053848,Жидачiвська,тис. грн,Q4 2022,172092.2
UA46060130000059055,Жовкiвська,тис. грн,Q4 2022,331231.32
UA46060150000060045,Жовтанецька,тис. грн,Q4 2022,124018.18
UA46100070000076013,Журавненська,тис. грн,Q4 2022,82684.42
UA46040050000062043,Заболотцiвська,тис. грн,Q4 2022,52269.05
UA46060170000014754,Зимноводiвська,тис. грн,Q4 2022,237578.65
UA46040070000032075,Золочiвська,тис. грн,Q4 2022,554540.23
UA46140010000081849,Івано-Франківська,тис. грн,Q4 2022,423314.79
UA46060190000038354,Кам'янка-Бузька,тис. грн,Q4 2022,257804.94
UA46100090000076723,Козiвська,тис. грн,Q4 2022,127507.75
UA46060210000047788,Комарнiвська,тис. грн,Q4 2022,112845.95
UA46040090000012087,Красненська,тис. грн,Q4 2022,140267.14
UA46060230000093092,Куликiвська,тис. грн,Q4 2022,119556.06
UA46120070000071541,Лопатинська,тис. грн,Q4 2022,95336.02
UA46060250000025047,Львiвська,тис. грн,Q4 2022,13876519.55
UA46020050000037271,Меденицька,тис. грн,Q4 2022,177179.07
UA46100110000018989,Миколаївська,тис. грн,Q4 2022,336973.82
UA46100130000048262,Моршинська,тис. грн,Q4 2022,141706.78
UA46140030000023506,Мостиська,тис. грн,Q4 2022,320129.8
UA46060270000027170,Мурованська,тис. грн,Q4 2022,122453.06
UA46080070000035761,Новокалинiвська,тис. грн,Q4 2022,177609.12
UA46100150000087495,Новороздiльська,тис. грн,Q4 2022,250717.55
UA46140050000054478,Новояворiвська,тис. грн,Q4 2022,1258640.81
UA46060290000052876,Новояричiвська,тис. грн,Q4 2022,185273.55
UA46060310000086550,Оброшинська,тис. грн,Q4 2022,100830.18
UA46060330000065074,Перемишлянська,тис. грн,Q4 2022,224689.68
UA46060350000036006,Пiдберiзцiвська,тис. грн,Q4 2022,133620.16
UA46040110000093394,Пiдкамiнська,тис. грн,Q4 2022,93664.59
UA46040130000035029,Поморянська,тис. грн,Q4 2022,56660.8
UA46060370000065608,Пустомитiвська,тис. грн,Q4 2022,243793.17
UA46060390000035967,Рава-Руська,тис. грн,Q4 2022,251072.66
UA46120090000051307,Радехiвська,тис. грн,Q4 2022,340230.39
UA46080090000029798,Ралiвська,тис. грн,Q4 2022,110546.87
UA46100170000077437,Розвадiвська,тис. грн,Q4 2022,107602.65
UA46080110000050484,Рудкiвська,тис. грн,Q4 2022,195561.33
UA46080130000077112,Самбiрська,тис. грн,Q4 2022,512354.39
UA46100190000081766,Сколiвська,тис. грн,Q4 2022,243434.32
UA46100210000027970,Славська,тис. грн,Q4 2022,378990.74
UA46120110000062257,Сокальська,тис. грн,Q4 2022,471754.36
UA46060410000052681,Сокiльницька,тис. грн,Q4 2022,168057.11
UA46060430000091455,Солонкiвська,тис. грн,Q4 2022,460320.79
UA46080150000050321,Старосамбiрська,тис. грн,Q4 2022,191991.52
UA46100230000047305,Стрийська,тис. грн,Q4 2022,1173316.97
UA46080170000064605,Стрiлкiвська,тис. грн,Q4 2022,107017.65
UA46140070000010135,Судововишнянська,тис. грн,Q4 2022,117046.98
UA46020070000056149,Схiдницька,тис. грн,Q4 2022,152441.47
UA46100250000088835,Тростянецька,тис. грн,Q4 2022,98541.09
UA46020090000057315,Трускавецька,тис. грн,Q4 2022,373407.62
UA46080190000096121,Туркiвська,тис. грн,Q4 2022,204885.85
UA46080210000051983,Хирiвська,тис. грн,Q4 2022,122143.31
UA46100270000094052,Ходорiвська,тис. грн,Q4 2022,206184.86
UA46120130000026331,Червоноградська,тис. грн,Q4 2022,933918.22
UA46140090000079730,Шегинiвська,тис. грн,Q4 2022,122650.05
UA46060450000037997,Щирецька,тис. грн,Q4 2022,95587.47
UA46140110000063568,Яворiвська,тис. грн,Q4 2022,1516127.09
UA46120010000054878,Белзька,тис. грн,Q1 2023,30345.59
UA46060010000049728,Бiбрська,тис. грн,Q1 2023,37909.5
UA46080010000010628,Бiсковицька,тис. грн,Q1 2023,36973.67
UA46080030000048662,Боринська,тис. грн,Q1 2023,56235.28
UA46020010000073886,Бориславська,тис. грн,Q1 2023,92563.49
UA46040010000033885,Бродiвська,тис. грн,Q1 2023,127423.12
UA46040030000058332,Буська,тис. грн,Q1 2023,73289.66
UA46060030000020652,Великолюбiнська,тис. грн,Q1 2023,32738.52
UA46120030000069375,Великомостiвська,тис. грн,Q1 2023,63997.66
UA46060050000016451,Глинянська,тис. грн,Q1 2023,22878.14
UA46100010000066018,Гнiздичiвська,тис. грн,Q1 2023,16660.88
UA46060070000047720,Городоцька,тис. грн,Q1 2023,102608.42
UA46100030000016064,Грабовецько-Дулiбiвська,тис. грн,Q1 2023,31159.77
UA46060090000017373,Давидiвська,тис. грн,Q1 2023,85642.02
UA46080050000015399,Добромильська,тис. грн,Q1 2023,36160.3
UA46060110000011684,Добросинсько-Магерiвська,тис. грн,Q1 2023,33974.81
UA46120050000027080,Добротвiрська,тис. грн,Q1 2023,40236.1
UA46020030000019252,Дрогобицька,тис. грн,Q1 2023,296160.27
UA46100050000053848,Жидачiвська,тис. грн,Q1 2023,44464.57
UA46060130000059055,Жовкiвська,тис. грн,Q1 2023,81887.63
UA46060150000060045,Жовтанецька,тис. грн,Q1 2023,26431.72
UA46100070000076013,Журавненська,тис. грн,Q1 2023,22394.72
UA46040050000062043,Заболотцiвська,тис. грн,Q1 2023,18845.48
UA46060170000014754,Зимноводiвська,тис. грн,Q1 2023,62822.31
UA46040070000032075,Золочiвська,тис. грн,Q1 2023,132455.57
UA46140010000081849,Івано-Франківська,тис. грн,Q1 2023,133886.56
UA46060190000038354,Кам'янка-Бузька,тис. грн,Q1 2023,68020.88
UA46100090000076723,Козiвська,тис. грн,Q1 2023,32455.79
UA46060210000047788,Комарнiвська,тис. грн,Q1 2023,28770.8
UA46040090000012087,Красненська,тис. грн,Q1 2023,38765.96
UA46060230000093092,Куликiвська,тис. грн,Q1 2023,28235.41
UA46120070000071541,Лопатинська,тис. грн,Q1 2023,26859.87
UA46060250000025047,Львiвська,тис. грн,Q1 2023,3659384.18
UA46020050000037271,Меденицька,тис. грн,Q1 2023,39367.33
UA46100110000018989,Миколаївська,тис. грн,Q1 2023,86711.8
UA46100130000048262,Моршинська,тис. грн,Q1 2023,37739.28
UA46140030000023506,Мостиська,тис. грн,Q1 2023,78160.97
UA46060270000027170,Мурованська,тис. грн,Q1 2023,34351.01
UA46080070000035761,Новокалинiвська,тис. грн,Q1 2023,42612.25
UA46100150000087495,Новороздiльська,тис. грн,Q1 2023,67434.55
UA46140050000054478,Новояворiвська,тис. грн,Q1 2023,323907.1
UA46060290000052876,Новояричiвська,тис. грн,Q1 2023,56233.93
UA46060310000086550,Оброшинська,тис. грн,Q1 2023,22195.39
UA46060330000065074,Перемишлянська,тис. грн,Q1 2023,43376.73
UA46060350000036006,Пiдберiзцiвська,тис. грн,Q1 2023,34341.34
UA46040110000093394,Пiдкамiнська,тис. грн,Q1 2023,21205.02
UA46040130000035029,Поморянська,тис. грн,Q1 2023,14749.46
UA46060370000065608,Пустомитiвська,тис. грн,Q1 2023,59983.64
UA46060390000035967,Рава-Руська,тис. грн,Q1 2023,68325.18
UA46120090000051307,Радехiвська,тис. грн,Q1 2023,99033.13
UA46080090000029798,Ралiвська,тис. грн,Q1 2023,27863.73
UA46100170000077437,Розвадiвська,тис. грн,Q1 2023,29369.75
UA46080110000050484,Рудкiвська,тис. грн,Q1 2023,49921.02
UA46080130000077112,Самбiрська,тис. грн,Q1 2023,136615.24
UA46100190000081766,Сколiвська,тис. грн,Q1 2023,69798.97
UA46100210000027970,Славська,тис. грн,Q1 2023,99716.26
UA46120110000062257,Сокальська,тис. грн,Q1 2023,113961.43
UA46060410000052681,Сокiльницька,тис. грн,Q1 2023,51813.65
UA46060430000091455,Солонкiвська,тис. грн,Q1 2023,160861.33
UA46080150000050321,Старосамбiрська,тис. грн,Q1 2023,56678.29
UA46100230000047305,Стрийська,тис. грн,Q1 2023,286576.72
UA46080170000064605,Стрiлкiвська,тис. грн,Q1 2023,29417.41
UA46140070000010135,Судововишнянська,тис. грн,Q1 2023,35613.37
UA46020070000056149,Схiдницька,тис. грн,Q1 2023,43320.11
UA46100250000088835,Тростянецька,тис. грн,Q1 2023,24010.86
UA46020090000057315,Трускавецька,тис. грн,Q1 2023,102498.85
UA46080190000096121,Туркiвська,тис. грн,Q1 2023,73539.77
UA46080210000051983,Хирiвська,тис. грн,Q1 2023,33213.7
UA46100270000094052,Ходорiвська,тис. грн,Q1 2023,50881.99
UA46120130000026331,Червоноградська,тис. грн,Q1 2023,228530.4
UA46140090000079730,Шегинiвська,тис. грн,Q1 2023,37995.18
UA46060450000037997,Щирецька,тис. грн,Q1 2023,29274.26
UA46140110000063568,Яворiвська,тис. грн,Q1 2023,410697.92
UA46120010000054878,Белзька,тис. грн,Q2 2023,65433.23
UA46060010000049728,Бiбрська,тис. грн,Q2 2023,86098.35
UA46080010000010628,Бiсковицька,тис. грн,Q2 2023,89981.22
UA46080030000048662,Боринська,тис. грн,Q2 2023,121679.89
UA46020010000073886,Бориславська,тис. грн,Q2 2023,204327.89
UA46040010000033885,Бродiвська,тис. грн,Q2 2023,277988.53
UA46040030000058332,Буська,тис. грн,Q2 2023,167329.68
UA46060030000020652,Великолюбiнська,тис. грн,Q2 2023,62902.22
UA46120030000069375,Великомостiвська,тис. грн,Q2 2023,153001.9
UA46060050000016451,Глинянська,тис. грн,Q2 2023,50038.8
UA46100010000066018,Гнiздичiвська,тис. грн,Q2 2023,37538.77
UA46060070000047720,Городоцька,тис. грн,Q2 2023,231308.12
UA46100030000016064,Грабовецько-Дулiбiвська,тис. грн,Q2 2023,70706.84
UA46060090000017373,Давидiвська,тис. грн,Q2 2023,189712.48
UA46080050000015399,Добромильська,тис. грн,Q2 2023,79548.15
UA46060110000011684,Добросинсько-Магерiвська,тис. грн,Q2 2023,84404.7
UA46120050000027080,Добротвiрська,тис. грн,Q2 2023,83330.88
UA46020030000019252,Дрогобицька,тис. грн,Q2 2023,627674.42
UA46100050000053848,Жидачiвська,тис. грн,Q2 2023,102365.74
UA46060130000059055,Жовкiвська,тис. грн,Q2 2023,189944.06
UA46060150000060045,Жовтанецька,тис. грн,Q2 2023,68114.95
UA46100070000076013,Журавненська,тис. грн,Q2 2023,51269.74
UA46040050000062043,Заболотцiвська,тис. грн,Q2 2023,40124.22
UA46060170000014754,Зимноводiвська,тис. грн,Q2 2023,144310.45
UA46040070000032075,Золочiвська,тис. грн,Q2 2023,285755.35
UA46140010000081849,Івано-Франківська,тис. грн,Q2 2023,267166.68
UA46060190000038354,Кам'янка-Бузька,тис. грн,Q2 2023,149977.15
UA46100090000076723,Козiвська,тис. грн,Q2 2023,75780.29
UA46060210000047788,Комарнiвська,тис. грн,Q2 2023,65934.05
UA46040090000012087,Красненська,тис. грн,Q2 2023,86357.53
UA46060230000093092,Куликiвська,тис. грн,Q2 2023,63457.84
UA46120070000071541,Лопатинська,тис. грн,Q2 2023,58582.17
UA46060250000025047,Львiвська,тис. грн,Q2 2023,7810676.57
UA46020050000037271,Меденицька,тис. грн,Q2 2023,87764.46
UA46100110000018989,Миколаївська,тис. грн,Q2 2023,195743.66
UA46100130000048262,Моршинська,тис. грн,Q2 2023,109133.29
UA46140030000023506,Мостиська,тис. грн,Q2 2023,184605.14
UA46060270000027170,Мурованська,тис. грн,Q2 2023,80719.51
UA46080070000035761,Новокалинiвська,тис. грн,Q2 2023,85901.0
UA46100150000087495,Новороздiльська,тис. грн,Q2 2023,147761.91
UA46140050000054478,Новояворiвська,тис. грн,Q2 2023,613193.18
UA46060290000052876,Новояричiвська,тис. грн,Q2 2023,128501.82
UA46060310000086550,Оброшинська,тис. грн,Q2 2023,81633.02
UA46060330000065074,Перемишлянська,тис. грн,Q2 2023,108542.14
UA46060350000036006,Пiдберiзцiвська,тис. грн,Q2 2023,76224.76
UA46040110000093394,Пiдкамiнська,тис. грн,Q2 2023,51014.51
UA46040130000035029,Поморянська,тис. грн,Q2 2023,40945.75
UA46060370000065608,Пустомитiвська,тис. грн,Q2 2023,149300.05
UA46060390000035967,Рава-Руська,тис. грн,Q2 2023,151914.15
UA46120090000051307,Радехiвська,тис. грн,Q2 2023,217059.03
UA46080090000029798,Ралiвська,тис. грн,Q2 2023,63616.47
UA46100170000077437,Розвадiвська,тис. грн,Q2 2023,65563.07
UA46080110000050484,Рудкiвська,тис. грн,Q2 2023,115420.93
UA46080130000077112,Самбiрська,тис. грн,Q2 2023,283437.47
UA46100190000081766,Сколiвська,тис. грн,Q2 2023,173292.69
UA46100210000027970,Славська,тис. грн,Q2 2023,240933.55
UA46120110000062257,Сокальська,тис. грн,Q2 2023,238030.11
UA46060410000052681,Сокiльницька,тис. грн,Q2 2023,108534.79
UA46060430000091455,Солонкiвська,тис. грн,Q2 2023,341516.99
UA46080150000050321,Старосамбiрська,тис. грн,Q2 2023,130395.49
UA46100230000047305,Стрийська,тис. грн,Q2 2023,628399.33
UA46080170000064605,Стрiлкiвська,тис. грн,Q2 2023,67137.23
UA46140070000010135,Судововишнянська,тис. грн,Q2 2023,70505.28
UA46020070000056149,Схiдницька,тис. грн,Q2 2023,102889.78
UA46100250000088835,Тростянецька,тис. грн,Q2 2023,56199.39
UA46020090000057315,Трускавецька,тис. грн,Q2 2023,226714.18
UA46080190000096121,Туркiвська,тис. грн,Q2 2023,154131.81
UA46080210000051983,Хирiвська,тис. грн,Q2 2023,74525.39
UA46100270000094052,Ходорiвська,тис. грн,Q2 2023,112608.27
UA46120130000026331,Червоноградська,тис. грн,Q2 2023,490028.43
UA46140090000079730,Шегинiвська,тис. грн,Q2 2023,78161.05
UA46060450000037997,Щирецька,тис. грн,Q2 2023,65204.88
UA46140110000063568,Яворiвська,тис. грн,Q2 2023,832494.1
UA46120010000054878,Белзька,тис. грн,Q3 2023,101095.57
UA46060010000049728,Бiбрська,тис. грн,Q3 2023,131018.96
UA46080010000010628,Бiсковицька,тис. грн,Q3 2023,138680.97
UA46080030000048662,Боринська,тис. грн,Q3 2023,168545.35
UA46020010000073886,Бориславська,тис. грн,Q3 2023,305318.48
UA46040010000033885,Бродiвська,тис. грн,Q3 2023,410470.37
UA46040030000058332,Буська,тис. грн,Q3 2023,245111.28
UA46060030000020652,Великолюбiнська,тис. грн,Q3 2023,82773.71
UA46120030000069375,Великомостiвська,тис. грн,Q3 2023,225653.27
UA46060050000016451,Глинянська,тис. грн,Q3 2023,73037.73
UA46100010000066018,Гнiздичiвська,тис. грн,Q3 2023,54020.13
UA46060070000047720,Городоцька,тис. грн,Q3 2023,356556.11
UA46100030000016064,Грабовецько-Дулiбiвська,тис. грн,Q3 2023,100720.24
UA46060090000017373,Давидiвська,тис. грн,Q3 2023,315927.11
UA46080050000015399,Добромильська,тис. грн,Q3 2023,112374.16
UA46060110000011684,Добросинсько-Магерiвська,тис. грн,Q3 2023,116795.41
UA46120050000027080,Добротвiрська,тис. грн,Q3 2023,116479.08
UA46020030000019252,Дрогобицька,тис. грн,Q3 2023,931452.55
UA46100050000053848,Жидачiвська,тис. грн,Q3 2023,148903.85
UA46060130000059055,Жовкiвська,тис. грн,Q3 2023,281169.11
UA46060150000060045,Жовтанецька,тис. грн,Q3 2023,100951.46
UA46100070000076013,Журавненська,тис. грн,Q3 2023,74448.71
UA46040050000062043,Заболотцiвська,тис. грн,Q3 2023,54622.05
UA46060170000014754,Зимноводiвська,тис. грн,Q3 2023,219317.78
UA46040070000032075,Золочiвська,тис. грн,Q3 2023,402931.04
UA46140010000081849,Івано-Франківська,тис. грн,Q3 2023,391786.93
UA46060190000038354,Кам'янка-Бузька,тис. грн,Q3 2023,218870.67
UA46100090000076723,Козiвська,тис. грн,Q3 2023,103102.33
UA46060210000047788,Комарнiвська,тис. грн,Q3 2023,101425.4
UA46040090000012087,Красненська,тис. грн,Q3 2023,127914.25
UA46060230000093092,Куликiвська,тис. грн,Q3 2023,94032.56
UA46120070000071541,Лопатинська,тис. грн,Q3 2023,83260.05
UA46060250000025047,Львiвська,тис. грн,Q3 2023,11818829.16
UA46020050000037271,Меденицька,тис. грн,Q3 2023,126755.2
UA46100110000018989,Миколаївська,тис. грн,Q3 2023,280686.84
UA46100130000048262,Моршинська,тис. грн,Q3 2023,179349.87
UA46140030000023506,Мостиська,тис. грн,Q3 2023,268558.65
UA46060270000027170,Мурованська,тис. грн,Q3 2023,142223.87
UA46080070000035761,Новокалинiвська,тис. грн,Q3 2023,125404.83
UA46100150000087495,Новороздiльська,тис. грн,Q3 2023,221027.15
UA46140050000054478,Новояворiвська,тис. грн,Q3 2023,901659.58
UA46060290000052876,Новояричiвська,тис. грн,Q3 2023,182537.49
UA46060310000086550,Оброшинська,тис. грн,Q3 2023,129588.58
UA46060330000065074,Перемишлянська,тис. грн,Q3 2023,178161.83
UA46060350000036006,Пiдберiзцiвська,тис. грн,Q3 2023,143493.0
UA46040110000093394,Пiдкамiнська,тис. грн,Q3 2023,72879.21
UA46040130000035029,Поморянська,тис. грн,Q3 2023,61789.14
UA46060370000065608,Пустомитiвська,тис. грн,Q3 2023,239406.98
UA46060390000035967,Рава-Руська,тис. грн,Q3 2023,215954.34
UA46120090000051307,Радехiвська,тис. грн,Q3 2023,312981.49
UA46080090000029798,Ралiвська,тис. грн,Q3 2023,91886.65
UA46100170000077437,Розвадiвська,тис. грн,Q3 2023,94960.98
UA46080110000050484,Рудкiвська,тис. грн,Q3 2023,171823.0
UA46080130000077112,Самбiрська,тис. грн,Q3 2023,404096.03
UA46100190000081766,Сколiвська,тис. грн,Q3 2023,265678.12
UA46100210000027970,Славська,тис. грн,Q3 2023,347555.01
UA46120110000062257,Сокальська,тис. грн,Q3 2023,344312.8
UA46060410000052681,Сокiльницька,тис. грн,Q3 2023,163007.88
UA46060430000091455,Солонкiвська,тис. грн,Q3 2023,502544.85
UA46080150000050321,Старосамбiрська,тис. грн,Q3 2023,191416.17
UA46100230000047305,Стрийська,тис. грн,Q3 2023,946619.22
UA46080170000064605,Стрiлкiвська,тис. грн,Q3 2023,94209.66
UA46140070000010135,Судововишнянська,тис. грн,Q3 2023,104541.04
UA46020070000056149,Схiдницька,тис. грн,Q3 2023,186004.3
UA46100250000088835,Тростянецька,тис. грн,Q3 2023,84291.31
UA46020090000057315,Трускавецька,тис. грн,Q3 2023,346465.18
UA46080190000096121,Туркiвська,тис. грн,Q3 2023,209489.07
UA46080210000051983,Хирiвська,тис. грн,Q3 2023,106710.88
UA46100270000094052,Ходорiвська,тис. грн,Q3 2023,162698.66
UA46120130000026331,Червоноградська,тис. грн,Q3 2023,758698.26
UA46140090000079730,Шегинiвська,тис. грн,Q3 2023,116140.75
UA46060450000037997,Щирецька,тис. грн,Q3 2023,89773.0
UA46140110000063568,Яворiвська,тис. грн,Q3 2023,1305737.25
UA46120010000054878,Белзька,тис. грн,Q4 2023,151334.99
UA46060010000049728,Бiбрська,тис. грн,Q4 2023,179036.82
UA46080010000010628,Бiсковицька,тис. грн,Q4 2023,188026.6
UA46080030000048662,Боринська,тис. грн,Q4 2023,224757.91
UA46020010000073886,Бориславська,тис. грн,Q4 2023,416928.26
UA46040010000033885,Бродiвська,тис. грн,Q4 2023,520712.91
UA46040030000058332,Буська,тис. грн,Q4 2023,334257.96
UA46060030000020652,Великолюбiнська,тис. грн,Q4 2023,111620.35
UA46120030000069375,Великомостiвська,тис. грн,Q4 2023,267242.54
UA46060050000016451,Глинянська,тис. грн,Q4 2023,105185.49
UA46100010000066018,Гнiздичiвська,тис. грн,Q4 2023,77162.09
UA46060070000047720,Городоцька,тис. грн,Q4 2023,488484.56
UA46100030000016064,Грабовецько-Дулiбiвська,тис. грн,Q4 2023,141676.43
UA46060090000017373,Давидiвська,тис. грн,Q4 2023,409216.64
UA46080050000015399,Добромильська,тис. грн,Q4 2023,160222.51
UA46060110000011684,Добросинсько-Магерiвська,тис. грн,Q4 2023,157184.61
UA46120050000027080,Добротвiрська,тис. грн,Q4 2023,154037.43
UA46020030000019252,Дрогобицька,тис. грн,Q4 2023,1212059.25
UA46100050000053848,Жидачiвська,тис. грн,Q4 2023,200136.72
UA46060130000059055,Жовкiвська,тис. грн,Q4 2023,392176.96
UA46060150000060045,Жовтанецька,тис. грн,Q4 2023,133151.75
UA46100070000076013,Журавненська,тис. грн,Q4 2023,100340.88
UA46040050000062043,Заболотцiвська,тис. грн,Q4 2023,75135.22
UA46060170000014754,Зимноводiвська,тис. грн,Q4 2023,288717.37
UA46040070000032075,Золочiвська,тис. грн,Q4 2023,520492.66
UA46140010000081849,Івано-Франківська,тис. грн,Q4 2023,469884.2
UA46060190000038354,Кам'янка-Бузька,тис. грн,Q4 2023,286291.82
UA46100090000076723,Козiвська,тис. грн,Q4 2023,141324.82
UA46060210000047788,Комарнiвська,тис. грн,Q4 2023,144412.67
UA46040090000012087,Красненська,тис. грн,Q4 2023,176490.61
UA46060230000093092,Куликiвська,тис. грн,Q4 2023,128163.54
UA46120070000071541,Лопатинська,тис. грн,Q4 2023,120579.45
UA46060250000025047,Львiвська,тис. грн,Q4 2023,15872063.3
UA46020050000037271,Меденицька,тис. грн,Q4 2023,169731.13
UA46100110000018989,Миколаївська,тис. грн,Q4 2023,387169.57
UA46100130000048262,Моршинська,тис. грн,Q4 2023,232724.82
UA46140030000023506,Мостиська,тис. грн,Q4 2023,351020.84
UA46060270000027170,Мурованська,тис. грн,Q4 2023,188828.26
UA46080070000035761,Новокалинiвська,тис. грн,Q4 2023,151605.66
UA46100150000087495,Новороздiльська,тис. грн,Q4 2023,302218.3
UA46140050000054478,Новояворiвська,тис. грн,Q4 2023,1103251.86
UA46060290000052876,Новояричiвська,тис. грн,Q4 2023,255068.36
UA46060310000086550,Оброшинська,тис. грн,Q4 2023,158659.47
UA46060330000065074,Перемишлянська,тис. грн,Q4 2023,236692.71
UA46060350000036006,Пiдберiзцiвська,тис. грн,Q4 2023,192899.93
UA46040110000093394,Пiдкамiнська,тис. грн,Q4 2023,100199.61
UA46040130000035029,Поморянська,тис. грн,Q4 2023,81753.5
UA46060370000065608,Пустомитiвська,тис. грн,Q4 2023,319151.6
UA46060390000035967,Рава-Руська,тис. грн,Q4 2023,291138.81
UA46120090000051307,Радехiвська,тис. грн,Q4 2023,427755.28
UA46080090000029798,Ралiвська,тис. грн,Q4 2023,126513.55
UA46100170000077437,Розвадiвська,тис. грн,Q4 2023,130410.04
UA46080110000050484,Рудкiвська,тис. грн,Q4 2023,236979.43
UA46080130000077112,Самбiрська,тис. грн,Q4 2023,520689.0
UA46100190000081766,Сколiвська,тис. грн,Q4 2023,340168.73
UA46100210000027970,Славська,тис. грн,Q4 2023,464175.41
UA46120110000062257,Сокальська,тис. грн,Q4 2023,483263.36
UA46060410000052681,Сокiльницька,тис. грн,Q4 2023,226250.87
UA46060430000091455,Солонкiвська,тис. грн,Q4 2023,648138.29
UA46080150000050321,Старосамбiрська,тис. грн,Q4 2023,248028.27
UA46100230000047305,Стрийська,тис. грн,Q4 2023,1278229.44
UA46080170000064605,Стрiлкiвська,тис. грн,Q4 2023,132800.63
UA46140070000010135,Судововишнянська,тис. грн,Q4 2023,141008.61
UA46020070000056149,Схiдницька,тис. грн,Q4 2023,248033.65
UA46100250000088835,Тростянецька,тис. грн,Q4 2023,107224.14
UA46020090000057315,Трускавецька,тис. грн,Q4 2023,495584.42
UA46080190000096121,Туркiвська,тис. грн,Q4 2023,277488.77
UA46080210000051983,Хирiвська,тис. грн,Q4 2023,142554.98
UA46100270000094052,Ходорiвська,тис. грн,Q4 2023,225265.94
UA46120130000026331,Червоноградська,тис. грн,Q4 2023,975610.04
UA46140090000079730,Шегинiвська,тис. грн,Q4 2023,194185.55
UA46060450000037997,Щирецька,тис. грн,Q4 2023,122897.7
UA46140110000063568,Яворiвська,тис. грн,Q4 2023,1515805.15
UA46120010000054878,Белзька,тис. грн,Q1 2024,33577.29
UA46060010000049728,Бiбрська,тис. грн,Q1 2024,41119.07
UA46080010000010628,Бiсковицька,тис. грн,Q1 2024,35258.26
UA46080030000048662,Боринська,тис. грн,Q1 2024,47644.43
UA46020010000073886,Бориславська,тис. грн,Q1 2024,96948.15
UA46040010000033885,Бродiвська,тис. грн,Q1 2024,105816.03
UA46040030000058332,Буська,тис. грн,Q1 2024,73736.23
UA46060030000020652,Великолюбiнська,тис. грн,Q1 2024,22286.83
UA46120030000069375,Великомостiвська,тис. грн,Q1 2024,36701.76
UA46060050000016451,Глинянська,тис. грн,Q1 2024,21375.52
UA46100010000066018,Гнiздичiвська,тис. грн,Q1 2024,18021.98
